League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=293,time=2023-01-14 00:41:56
0	53.56	3965571	3915214	Python3	Smekarn	
0	46.61	2311105	4429330	C++	kovi	
0	46.32	3136787	4419343	C++	jacek	
0	45.98	4614378	3952072	C#	BloodySall	
0	43.37	4618693	4410781	PHP	cedricdd	
0	41.61	3235897	4389599	Java	Zylo	
0	41.51	4334237	4317209	Javascript	BJD	
0	41.39	4643728	3933568	Rust	Flaise	
0	41.24	4594650	3918735	Python3	d.coder	
0	40.56	2786666	4318931	C++	TetraktysPhi	
0	40.54	3902927	4534322	Python3	Bulgot	
0	40.23	3586725	3921271	PHP	obrozer	
0	40.16	4564296	3921064	Java	Yevhen_Sibahatullin	
0	39.98	3556476	3920718	C++	YohanC	
0	39.77	4063095	3992212	Python3	Dr.Mentalist	
0	39.23	3946840	3909525	C#	DirkieDurky	
0	39.15	1205008	3849907	PHP	Trisard	
0	39.14	2924895	4534957	C	trictrac	
0	39.04	1859368	3909633	Javascript	MuratC	
0	38.95	4096208	3911679	Java	maxi97	
0	38.84	893541	4422893	Java	wala	
0	38.18	304126	3911500	PHP	kami	
0	38.03	4605516	3909125	C++	DevOops	
0	37.91	4614906	3931493	Java	Rex7.9.3.	
0	37.64	4367316	4509621	Python3	benducoeur	
0	37.64	2290633	3851884	Python3	field3	
0	37.58	311035	4535622	Python3	leojean890	
0	37.54	2090434	3916161	Java	natrian	
0	37.46	2042572	3911875	Python3	i_am_noob_abc	
0	37.36	4622964	3911865	Python3	Haradwaith	
0	37.12	1947436	3912317	Python3	MoosPow	
0	37.07	4559916	4400325	Javascript	Karne	
0	37.02	949137	3940010	Java	RomanV	
0	37	4553650	3912365	Python3	JRBensa	
0	36.95	4361982	4313204	Javascript	htmlhigh5	
0	36.95	1186250	3850523	C#	Gabbek	
0	36.92	4595389	3910631	Python3	Yatagan	
0	36.92	3791240	4703794	Swift	Woildan	
0	36.92	1464115	4013735	Rust	GabrielDCelery	
0	36.89	973040	3852079	F#	papyjo	
0	36.76	2110342	4463841	Javascript	lchenay	
0	36.74	1412263	4308883	PHP	PatrickMcGinnisII	
0	36.67	1066745	4559678	Java	DepartmentOfRedundancy	
0	36.6	2422378	3904264	Javascript	C2H5OH	
0	36.59	3533119	4062135	Python3	wlesavo	
0	36.55	4620967	4526793	Java	Abaque	
0	36.54	4607374	3908253	C++	B3rty	
0	36.2	4589105	4454153	Kotlin	ED222	
0	36.1	5287860	4704013	Python3	Alkyan	
0	35.77	3306551	3911612	Python3	StoneRiverPrg	
0	35.69	4298841	4408487	C#	Dapps	
0	35.52	1378958	3934046	C#	Illedan	
0	35.46	2468771	3914229	PHP	AnthonyBranca	
0	35.14	4493523	3913136	C++	Fynjy1313	
0	35.12	3494301	3861222	Python3	CoreyCV	
0	34.44	2217572	3913039	Python3	Ben9	
0	34.21	3784348	3909923	Javascript	PauliCZ44	
0	34.17	4253472	3905454	Java	GreyRaven	
0	34.03	1480501	3934778	C++	DaFish	
0	33.63	4456367	4388278	VB.NET	AndyWasHere	
0	32.87	4530925	3911693	Java	ShuRuPin	
0	32.81	1852554	3908921	C#	Rip	
0	32.76	2923506	3914890	C++	darkhorse64	
0	32.63	4591407	3904698	TypeScript	phillyv	
0	32.62	3345589	4411482	Python3	zaphodef	
0	32.34	3657937	3921320	Python3	elderlybeginner	
0	32.34	4625109	3912074	PHP	heiko.schlabach	
0	32.25	3091781	3910800	Python3	Chomb	
0	32.23	4334077	3979671	C++	Paul_Demanze	
0	32.21	2491616	3908671	Haskell	abt8601	
0	32.14	3323461	3908007	Python3	Misrolox420	
0	32.14	4217776	3916436	C#	Thorbo	
0	32.13	154901	3907003	Go	jybateman	
0	31.92	3121191	3909701	C++	ZeroBlitz	
0	31.83	4018239	3906673	Java	MACKEYTH	
0	31.77	1600949	3907837	PHP	Kishlin	
0	31.58	1015058	3912576	TypeScript	Stratubas	
0	31.54	4055364	3904931	TypeScript	SamuelK	
0	31.48	4623285	3931553	Python3	LazyBadger	
0	31.43	2793377	3911056	Java	MixWit	
0	31.21	1843683	3911968	Javascript	Sn4tch	
0	31.17	4615397	3904431	Ruby	Leandro-Matayoshi	
0	31.09	4074267	3908412	C++	Alex_V-H	
0	31.03	438298	4390684	TypeScript	JeremieG	
0	30.82	4768469	4043579	Python3	bot_maker	
0	30.74	1475736	3906086	Javascript	mlaffargue	
0	30.66	4610238	3912612	Dart	stefaniamak	
0	30.24	4595742	3911085	Java	Stephanie31	
0	30.22	1029602	3856104	C	Potemkine	
0	30.2	2288263	4275611	Rust	dbdr	
0	30.19	4604719	3935154	Bash	SysAdmin_TF	
0	30.17	2964224	4027552	C++	SimoneMazzola	
0	30.15	4024230	3960715	Java	Raye_Lin	
0	30.1	1802967	4307894	Python3	Meruem	
0	30.03	4605393	3905710	C#	Emanuele.Fasano	
0	30.03	4492526	3905732	Java	Timonwalk	
0	30.01	3533314	3908962	C#	skotz	
0	29.93	1593992	3868738	Python3	nierin	
0	29.91	1770280	3906258	C#	Maxboyer	
0	29.9	4621820	3910571	Javascript	JorgeEP	
0	29.85	3657944	3924345	Python3	xyz-1	
0	29.78	3984040	3917009	Java	ClementMateo	
0	29.77	3521761	3951942	Python3	johandroid	
0	29.75	1944090	3907703	C#	spaceorc	
0	29.72	4569040	4023328	Go	Arkondiel	
0	29.68	3450957	3910401	Python3	0113H	
0	29.63	5267457	4701757	Python3	Plouc_Nienie	
0	29.62	3577808	3989504	Python3	isak13	
0	29.61	4031918	3949838	Java	MasterFong	
0	29.61	4140676	3911706	Java	Jankoo	
0	29.57	4209154	3949837	Java	ALDERS0N	
0	29.48	3178654	3853599	Scala	LinusRoman	
0	29.47	1479930	3845113	Python3	LeRenard	
0	29.42	3647844	3991398	Python3	rc95401	
0	29.35	4018262	3954909	Java	ChunFong	
0	29.32	1028993	4452721	PHP	Xanadrel	
0	29.29	4325385	3908559	Python3	chescales	
0	29.28	3242055	3920925	Python3	muchaco	
0	29.23	4136008	3906535	Python3	jerry_laevis	
0	29.03	2709791	3911356	Python3	YOMar	
0	29.03	4218431	3850370	Python3	AkihitoUni	
0	29.02	2019990	3910405	Javascript	Ladack	
0	28.99	4532085	3907617	Java	Othamae	
0	28.98	3032166	3905564	C#	random_cast	
0	28.93	4563191	3904054	Python3	ankan2526	
0	28.92	1469666	3906439	C++	alenic	
0	28.91	792813	4007933	Python3	VilBoub	
0	28.81	4186091	3906016	C	khraal	
0	28.8	1721526	3936439	Java	rm-zzz	
0	28.79	4323047	3912619	PHP	2s	
0	28.72	3951098	3906659	Python3	SlurpasGasskagg	
0	28.62	3983017	3854478	PHP	TLbuis	
0	28.54	4104041	3949839	Java	evanlin123	
0	28.34	1743344	3911009	TypeScript	ush189	
0	28.3	2813247	3911086	C++	Maurice3113	
0	28.27	1849798	3912442	Python3	TenOldMen	
0	28.23	2827154	3910287	Python3	Lenom	
0	28.2	2069141	4290180	C#	tomeko	
0	28.11	4607898	3905671	Python3	gun_kodlnw	
0	28.04	4562859	3907007	Java	JeremyRoussy	
0	28.03	3683544	3910625	Clojure	green-coder	
0	27.95	3516345	3904094	C	Jp82	
0	27.84	4965293	4371108	C++	phoenix_public	
0	27.84	4810092	4496809	Python3	Gatooo	
0	27.52	1203127	3904794	Python3	Agraou	
0	27.51	1287188	3905214	Python3	Tototonio	
0	27.39	4612544	4035174	Python3	AnthonyBarbe	
0	27.29	4570242	3906033	C#	Milanovich	
0	27.26	5163410	4704621	Java	LOKI_78	
0	27.25	4592681	3919539	C#	Urutar	
0	27.12	1861258	3904806	Rust	Nazdhun	
0	26.74	4608332	3910490	Python3	angd	
0	26.56	1701191	3910678	Python3	Ciegix	
0	26.41	878168	4522976	Python3	Czaporka	
0	26.33	1884530	3906763	Python3	PetitBonney	
0	26.32	4805951	4496779	Python3	Coco010804	
0	26.31	1500515	3906399	C#	eulerscheZahl	
0	26.26	3127711	3914281	Javascript	TimmyAndTheLordsOfTheUnderworld	
0	26.24	4493066	3911580	Python3	Polynomu	
0	26.11	4827054	4249238	Python3	-Revelation-	
0	26.1	4562860	3997998	Python3	clxm	
0	26.1	3420134	4001736	Python3	KelvinAndHubbles	
0	26.06	3569066	4404946	C++	derjack	
0	26.06	4257906	3911307	Python3	NotSureWhyThisWorks	
0	26.05	4420742	3921753	Python3	Mortis_666	
0	26.03	4622316	3909787	Javascript	Jathrone	
0	26	4616983	3905518	Python3	invisal	
0	25.99	4574132	3905766	Python3	AnonimYYYs	
0	25.95	4444731	3904797	C	Medoo	
0	25.92	3986479	4080711	Python3	sbrnc	
0	25.89	4551641	3904623	Python3	Therion	
0	25.86	4612540	3911610	C++	Fieldyturbo19	
0	25.86	1579627	4506971	C#	Bahrani	
0	25.83	1493634	3916538	C#	PatrikNordelind	
0	25.82	5240336	4697993	Rust	alexisjapas	
0	25.63	2612889	3855078	Python3	Symphonia	
0	25.52	4600869	3908423	C#	halfred	
0	25.43	322147	3911513	Python3	pleasedontbelong	
0	25.41	1892877	3911116	Python3	Filendrick	
0	25.39	1077199	3907229	Python3	Lilymage	
0	25.38	2833886	3924701	Python3	KnutWart	
0	25.17	4034596	3912313	Python3	martin0806	
0	25.01	1152991	3905163	C#	xoposhiy	
0	24.99	2502448	3912920	Java	KhShahed	
0	24.93	4313838	3908639	C#	Bulbz	
0	24.82	1488278	4384315	C#	IhhMaa	
0	24.79	4200593	3912566	Python3	qwatry	
0	24.78	3361908	4705215	Python3	Fafanellu	
0	24.57	3500831	3905410	Java	goudan	
0	24.46	2532837	4397860	Ruby	fauresebast	
0	24.45	3928399	3879864	Python3	JoseSkapane	
0	24.41	4474157	3912468	C#	Omar.KS	
0	24.27	4447108	4019891	C++	MonkeyFeathers	
0	23.78	4141939	3905156	Javascript	kiliant	
0	22.89	4766227	4040835	Swift	KSTNR	
0	22.27	3471887	3908362	Javascript	sonik91	
0	21.98	720764	3912381	Python3	Goradan	
0	21.88	1140243	3910977	Python3	JakubDotPy	
0	21.86	4276546	3910849	Python3	bojgus	
0	21.49	2719604	3902205	Python3	vpoulailleau	
0	21.47	2448295	4299259	C#	DM84	
0	21.29	3635397	4082085	Java	Flots	
0	21.28	4719758	4420082	C#	Trougie	
0	21.17	1863849	3929240	C#	Peglo	
0	21.16	1036095	3908386	PHP	Mara	
0	21.04	4609554	3912710	Python3	AshuCoder	
0	21.04	3260136	3906635	Python3	Fredvol	
0	20.94	3830154	3844522	C#	Drangoht	
0	20.88	1607251	3855157	Javascript	baboulaf	
0	20.71	3721214	4292760	Python3	jrke	
0	20.68	3644165	3910710	Python3	uuk1301	
0	20.68	4427323	4383402	C++	DrSzuriad	
0	20.47	3141948	3845981	Python3	philRG	
0	20.3	4298837	3984535	Java	Code_Guy123	
0	20.25	4368925	3908196	Javascript	johanrosenson	
0	20.03	4556904	3935348	C#	Dev_Ildice	
0	20.02	1233847	3909398	Haskell	F15Ky	
0	20.02	4132355	3907151	Javascript	ThomPuce	
0	19.9	862498	3952598	C++	Graviton_Noir	
0	19.88	1408260	3906572	C#	Hominoidean	
0	19.8	970660	3905242	C#	Brizee	
0	19.79	4391541	3921558	Python3	burger4d	
0	19.72	4603654	3907998	C++	ncuxSP	
0	19.65	4341849	4078817	C#	onesimpletoo	
0	19.38	5212988	4554075	C++	ojoshi	
0	19.2	4253866	3910332	C++	solebull	
0	18.95	5030158	4423743	Python3	AnonymousTiriti	
0	18.94	4091218	3894482	Python3	DutchRon	
0	18.68	862919	3905875	C++	Astrobytes	
0	18.14	4747586	4007889	Java	HiddenRaichu	
0	18.09	1713174	3855621	Python3	BigUP	
0	17.9	1140677	4549278	C++	Crog	
0	17.81	2364617	3904216	C++	RomainPicot	
0	17.8	3897897	3910315	Python3	____Z_X_C____	
0	17.8	4562771	3905347	Python3	zalkawe	
0	17.78	4277867	4403435	D	About	
0	17.77	1653268	4639927	Go	YikeyYikes	
0	17.72	4510625	3952282	C++	MrBaguette	
0	17.48	4579419	3907664	TypeScript	LazyRabbit	
0	17.39	5144936	4537955	Python3	AJIT2508	
0	17.25	3559501	3992063	C++	Teakt	
0	17.15	4736589	4000527	Python3	Superpipo	
0	16.09	1037126	4491674	Java	totallybadatcoding	
0	15.91	4173079	3906776	Python3	mpurnell1	
0	14.85	3526150	4060898	Java	Miek93	
0	14.78	4876171	4387859	Python3	j4at	
0	14.66	3864752	3903940	Rust	MuddySneakers	
0	14.51	4517085	4033492	Python3	729593	
0	12.95	5174942	4522826	Javascript	cZingc	
0	12.39	5223742	4555463	Python3	QuentinF	
0	10.14	2748284	3908376	C++	Ristone	
0	10.13	4584713	3885654	Python3	Youmaghn	
0	10.02	4626700	3955783	PHP	JohnyDarecek	
0	9.92	4810096	4496798	Python3	BhromeSheep	
0	9.92	1415003	3906794	C#	DiegoTM	
0	9.92	5169777	4517710	Python3	cynophile	
0	9.91	2779063	4397237	Python3	LegendsOfCodeAndMagic	
0	9.91	2625465	4002477	Java	TiagoHucs	
0	9.91	2426645	4513226	TypeScript	Red2White	
0	9.9	4154112	3907205	Python3	bnjX	
0	9.9	5223860	4554429	Python3	ANDGATE	
0	9.88	2325449	3845783	Perl	otpv	
0	9.88	3123327	3905273	Javascript	Cordy	
0	9.86	1883670	4398220	Javascript	radekmie	
0	9.86	4658587	3940064	Java	Pseudogfhfhfhhfg	
0	9.84	4855065	4234066	C	emyilmaz	
0	9.84	4854710	4124071	Python3	mester_x	
0	9.82	4103695	4071476	C++	Ivanchic	
0	9.8	4183089	3985050	Python3	PringleOrange	
0	9.65	4604167	4422742	Javascript	firefoxy	
0	9.63	4282042	4397292	Java	aCatAI	
0	9.54	3344383	4404130	Python3	Czejoo	
0	9.5	4680185	3962205	Python3	thisisparham	
0	9.48	4607468	3904307	Java	kizymizy	
0	8.41	3580996	3922212	C++	Bysbobo	
0	7.46	1073483	3904802	C++	Onnion	
0	6.76	2017805	3986304	Python3	Winter_not_comming	
0	6.33	1500688	3911975	C++	GabrielAttal	
0	3.57	4595230	3909783	Java	Melpemonia	
0	2.78	4916637	4311923	Python3	JasperJZ07	
0	2.57	3873017	3915169	Python3	Amheht	
0	0.83	3828495	3911692	Python3	Schnittlaucher	
0	-1.3	4579776	3907876	Python3	No_Way	
0	-3.84	2951870	3908081	Java	MrSad	
0	-3.92	4625178	3910462	Python3	proem	
0	-3.93	4566223	3907737	Python3	ChestNuts87	
0	-4.03	4723371	4016199	Python3	o.memisoglu	
0	-4.04	4535820	3850891	Ruby	kanttis	
0	-4.06	4980809	4386413	Java	Gancubes	
0	-4.24	3416306	4517287	Python3	Nanomaniach	
0	-4.32	4370651	3906113	Javascript	Bloomeeth	
0	-4.42	4956771	4347309	Python3	KingWhitfield2011	
0	-4.51	4877033	4208934	Javascript	CodeBot1	
