League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=113,time=2023-01-23 00:30:05
1	28.26	2311105	3906703	Python3	kovi	
1	28.13	2923506	3449758	C++	darkhorse64	
1	27.85	2786666	4714612	C++	TetraktysPhi	
1	27.61	1569420	3452808	Python3	Tuo	
1	27.2	594697	3450614	C#	dimulien	
1	26.68	792813	3677083	Python3	VilBoub	
1	25.98	5012217	4435660	Python3	Ozwald	
1	25.95	1479930	3454453	C++	LeRenard	
1	25.2	893259	3700845	Python3	pveniat	
1	25.19	973040	3471145	F#	papyjo	
1	24.98	2288263	3520022	Rust	dbdr	
1	24.95	893541	3916584	Java	wala	
1	24.59	1931039	4270802	TypeScript	MooMooN	
1	24.34	1716296	3446625	C++	abzalovim	
1	24.12	2073802	3443842	Javascript	Heck-R	
1	24.11	3968119	3675649	Python3	Yonko_Kaido	
1	23.95	3320379	3674243	Python3	Raph0603	
1	23.65	2924895	3749763	C	trictrac	
1	23.49	1314399	3443193	Javascript	igu	
1	23.21	2290633	3425816	Python3	field3	
1	23.04	3968101	3677694	Python3	JE_SUIS_MOI	
1	22.31	3647844	3924150	Python3	rc95401	
1	22.3	2373953	3456868	TypeScript	Dridriun	
1	21.99	4206982	3674120	Ruby	slempel	
1	21.95	3836173	3519140	TypeScript	razyon	
1	21.78	3337117	3454353	Rust	timbersson	
1	20.88	4093262	3455193	C	Lukas_r1	
1	20.86	3363116	3791613	C++	senile	
1	20.84	4070567	3533650	Python3	ludo973	
1	20.8	3581724	3741124	Python3	ffgth	
1	20.78	4130131	3444938	Python3	YuvalG	
1	20.73	4205394	3442904	Python3	hyndruide	
1	20.61	3667480	3673442	Python3	Zizou92	
1	20.38	3667466	3535595	Python3	Ninjaboub	
1	20	1243354	3972789	Python3	RSBat	
1	19.89	311035	4005811	Python3	leojean890	
1	19.69	3563934	4391503	C#	ChuckTheNinja	
1	19.26	2434732	3440801	C#	shirokov.alex	
1	19.08	3667481	3680538	Python3	Giorno.	
1	18.89	1186250	3980406	C#	Gabbek	
1	18.44	4208922	3443501	Python3	xokirBios	
1	18.41	2904988	3440216	Python3	Evan_He	
1	18.3	3983017	3830819	PHP	TLbuis	
1	17.58	4120837	3439487	C++	philipplenk	
1	17.53	3339264	4004977	Python3	VALI	
1	17.11	3667473	3674134	Python3	K2ARISM	
1	17.07	3354558	3674187	Python3	mw197	
1	16.66	3670631	3679123	Python3	merlleu	
1	16.34	3496138	3481257	Python3	HayTheFirst	
1	16.32	2049982	4050287	Python3	refa	
1	15.89	3061989	3481536	Ruby	Dr.Mic	
1	15.73	3667476	3674133	Python3	attendezsvp	
1	15.68	3903473	3419115	Python3	Konstant	
1	15.66	4190536	3481268	Java	GrimPeace	
1	15.63	3443015	3421266	Java	Wozniak	
1	15.27	3141948	3753751	Python3	philRG	
1	14.37	1488729	3443667	C++	samrrr	
1	14.33	4771365	4050316	Python3	J56164	
1	14.26	2140455	3442744	C++	Lord_Binary	
1	14.12	1490383	3443629	C++	arkwaw	
1	13.92	2481767	4705204	C#	Jumble28	
1	12.47	4205154	3443737	C++	tuna_in_cream	
1	11.13	3846244	3443529	Python3	JLukeSkywalker	
1	10.83	1412263	3427933	PHP	PatrickMcGinnisII	
1	10.14	1588583	3753819	Python3	dANNs	
1	10.07	1834018	4066908	C#	Peacemaker	
1	6.94	3839774	3439949	Kotlin	gurvan_lullien	
0	20.25	3418995	3941202	C++	Vooblin	
0	19.53	2017805	4511553	Python3	Winter_not_comming	
0	19.07	3881772	3439668	Javascript	Halberd	
0	19	2706701	3443513	Kotlin	Inliner	
0	18.35	4035972	3440952	Python3	SemBi0s	
0	16.46	4140622	3442413	Python3	wsmph	
0	15.35	3970424	3817290	Python3	-TheWalder-	
0	14.83	3274956	3416800	C#	LeProfesseur	
0	12.11	3354337	3416578	C++	Westicles	
0	11.53	1713174	3420969	Python3	BigUP	
0	11.26	2739951	3439320	Python3	Raptile	
0	11.21	4609108	3897945	Python3	Danya300	
0	11.21	2069141	3744015	C#	tomeko	
0	11.12	1802808	3702435	Python3	EnderWiggins	
0	11.08	723476	3686542	Python3	NeoPhnx	
0	11.06	4190719	3440180	Python3	sh4shI	
0	11.05	4622720	3914248	Java	cyril1977	
0	11.01	3667471	3467427	Python3	Josephtulaferme	
0	10.96	4194224	3439336	Javascript	Kiongeris	
0	10.92	3545956	3438891	Javascript	therealyubraj	
0	10.91	4030968	3439478	Python3	MBucas	
0	10.87	3712441	3439743	Python3	Mirko-pl	
0	10.79	4626700	3955800	PHP	JohnyDarecek	
0	10.76	4124472	4147207	Python3	Valdez001	
0	10.75	1442344	3441364	Javascript	PavelRaskin	
0	10.72	3978493	3437974	Java	Ibtissam_B	
0	10.6	4584888	3912105	C#	Frizlee	
0	10.31	3854235	3486179	Python3	E-Panther	
0	10.3	1447555	4081955	Javascript	Nicolas_BREANT	
0	10.23	2824008	4707937	C#	OccitanieFreelancer	
0	10.19	4454468	4322644	Python3	KNTK	
0	10.15	3136787	3440733	C++	jacek	
0	10.14	3721214	3440100	C++	jrke	
0	10.07	4298841	3751283	C#	Dapps	
0	10.02	2325449	3502829	PHP	otpv	
0	9.65	1607251	3998903	Javascript	baboulaf	
0	9.44	3344383	3980355	Python3	Czejoo	
0	9.38	4183089	3985069	Python3	PringleOrange	
0	9.11	4562860	4292690	Python3	clxm	
0	3.61	4180093	3438885	Python3	MeherMs	
0	-0.1	4036593	3444398	Java	Sfrizzolo	
0	-2.92	4199333	3445031	Python3	wnphartn	
0	-4.02	3819030	3439558	Python3	S4A3K	
0	-4.26	5174619	4522897	Python3	Datascientist07	
0	-4.31	4778025	4028601	Python3	MGTRFELIPEURREGO	
0	-4.48	5195449	4711877	C++	ravikr	
